Sec,Ticks,msg_type,Channel,Notes,Velocities,Pedal,Tempo
42.19921875,0,"['note_off', 'note_on']",0,"[52, 54]","[68, 64]",,64.0
42.2109375,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[71, 69, 68, 66]","[55, 64, 57, 64]",,64.0
42.4453125,0,"['note_off', 'note_on']",1,"[69, 68]","[63, 64]",,64.0
42.66796875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[54, 56, 52, 50]","[68, 64, 68, 64]",,64.0
42.6796875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[68, 69, 66, 65]","[55, 64, 58, 64]",,64.0
42.9140625,0,"['note_off', 'note_on']",1,"[69, 71]","[57, 64]",,64.0
43.13671875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[56, 57, 50, 48]","[50, 64, 73, 64]",,64.0
43.1484375,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[71, 72, 65, 64]","[51, 64, 66, 64]",,64.0
43.3828125,0,"['note_off', 'note_on']",3,"[72, 66]","[76, 64]",,64.0
43.60546875,0,"['note_off', 'note_on']",0,"[48, 53]","[65, 64]",,64.0
43.6171875,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[66, 68, 64, 62]","[1, 64, 48, 64]",,64.0
43.83984375,0,"['note_off', 'note_on']",0,"[57, 59]","[65, 64]",,64.0
43.8515625,0,"['note_off', 'note_on']",1,"[68, 69]","[49, 64]",,64.0
43.95703125,0.10546875,['note_off'],1,[59],[64],,64.0
43.96484375,0.0078125,['note_on'],1,[57],[64],,64.0
44.07421875,0.109375,['note_on'],1,[55],[64],,64.0
44.08203125,0.0078125,['note_off'],0,[57],[64],,64.0
44.0859375,0,"['note_off', 'note_on']",1,"[69, 71]","[58, 64]",,64.0
44.3203125,0,"['note_off', 'note_on']",1,"[62, 64]","[46, 64]",,64.0
44.54296875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[55, 60, 53, 52]","[13, 64, 68, 64]",,64.0
44.5546875,0,"['note_off', 'note_on', 'note_off', 'note_on']",0,"[71, 69, 64, 66]","[63, 64, 39, 64]",,64.0
44.7890625,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[69, 71, 66, 68]","[52, 64, 66, 64]",,64.0
45.01171875,0,"['note_off', 'note_on']",0,"[60, 54]","[62, 64]",,64.0
45.0234375,0,"['note_off', 'note_on', 'note_off', 'note_on']",1,"[71, 72, 68, 69]","[57, 64, 65, 64]",,64.0
